comuna,ancho_acera,diametro_altura_pecho,altura_arbol,cluster_comuna
1.0,3.5581611340432473,26.51157280845635,8.622106797885912,4
2.0,3.1406246686626518,25.630964691978136,10.184369921701876,3
3.0,2.93951460111172,26.555546856650746,9.387927659907618,3
4.0,3.4078898266380446,32.794620857192434,8.952316501821969,0
5.0,3.2429116853065945,31.47204010798303,9.945005784805245,0
6.0,3.3917221817505094,30.983100764322277,10.167730173199635,0
7.0,3.494675339373942,29.020737044459896,8.060493271708454,4
8.0,4.043266419635951,30.406525526635342,7.009714376220897,1
9.0,4.017578740720508,32.14517920832603,7.378062328246506,1
10.0,3.781130262810303,32.44054789197591,8.016611618418496,1
11.0,3.9283481493826744,34.67202801353196,9.041456466259126,5
12.0,3.889558835271736,34.04960097539348,9.130819108845046,5
13.0,3.6345173582923946,34.891723591349965,10.643808733064121,2
14.0,3.481197442742549,37.051502786624205,12.017217356687897,2
15.0,3.830866423598023,37.45336671399746,9.805320977505419,5
